10	[(34, 0.25)(12, 0.25)]
12	[(79, 0.047619047619047616)(10, 0.047619047619047616)(92, 0.047619047619047616)(56, 0.09523809523809523)(18, 0.047619047619047616)(34, 0.23809523809523808)
	(12, 0.047619047619047616)]
18	[(79, 0.07692307692307693)(92, 0.15384615384615385)(56, 0.15384615384615385)(18, 0.07692307692307693)(34, 0.23076923076923078)(29, 0.07692307692307693)
	(12, 0.23076923076923078)]
29	[(79, 0.045454545454545456)(10, 0.045454545454545456)(92, 0.045454545454545456)(56, 0.045454545454545456)(18, 0.045454545454545456)(34, 0.09090909090909091)
	(12, 0.09090909090909091)]
34	[(79, 0.02702702702702703)(10, 0.05405405405405406)(92, 0.10810810810810811)(56, 0.08108108108108109)(18, 0.02702702702702703)(34, 0.08108108108108109)
	(29, 0.02702702702702703)(12, 0.13513513513513514)]
56	[(10, 0.07407407407407407)(92, 0.07407407407407407)(56, 0.037037037037037035)(34, 0.14814814814814814)(29, 0.037037037037037035)(12, 0.14814814814814814)]
79	[(92, 0.2)(56, 0.2)(18, 0.2)(34, 0.2)(12, 0.2)]
