Straip Output
*************
10	[(34, 0.5)(12, 0.5)]
12	[(56, 0.15384615384615385)(92, 0.15384615384615385)(34, 0.38461538461538464)(18, 0.07692307692307693)(79, 0.07692307692307693)(10, 0.07692307692307693)
	(12, 0.07692307692307693)]
18	[(56, 0.14285714285714285)(92, 0.14285714285714285)(34, 0.3333333333333333)(18, 0.047619047619047616)(29, 0.047619047619047616)(79, 0.09523809523809523)
	(10, 0.047619047619047616)(12, 0.14285714285714285)]
29	[(56, 0.1388888888888889)(92, 0.1388888888888889)(34, 0.3055555555555556)(18, 0.05555555555555555)(29, 0.027777777777777776)(79, 0.08333333333333333)
	(10, 0.05555555555555555)(12, 0.19444444444444445)]
34	[(56, 0.16666666666666666)(92, 0.14583333333333334)(34, 0.22916666666666666)(18, 0.0625)(29, 0.041666666666666664)(79, 0.08333333333333333)(10, 0.0625)
	(12, 0.20833333333333334)]
56	[(56, 0.13793103448275862)(92, 0.15517241379310345)(34, 0.2413793103448276)(18, 0.05172413793103448)(29, 0.05172413793103448)(79, 0.06896551724137931)
	(10, 0.06896551724137931)(12, 0.22413793103448276)]
79	[(56, 0.14285714285714285)(92, 0.15873015873015872)(34, 0.23809523809523808)(18, 0.06349206349206349)(29, 0.047619047619047616)(79, 0.06349206349206349)
	(10, 0.06349206349206349)(12, 0.2222222222222222)]
92	[(56, 0.13636363636363635)(92, 0.15151515151515152)(34, 0.24242424242424243)(18, 0.06060606060606061)(29, 0.045454545454545456)(79, 0.06060606060606061)
	(10, 0.07575757575757576)(12, 0.22727272727272727)]
